M,Ri_x,Ri_y,Ri_z,Ri_kx,Ri_ky,Ri_kz,Ri_ex,Ri_ey,Ri_ez,Ri_distance,Ri_amp,Ri_status,Ri_ray_index,Ro_x,Ro_y,Ro_z,Ro_kx,Ro_ky,Ro_kz,Ro_ex,Ro_ey,Ro_ez,Ro_distance,Ro_amp,Ro_status,Ro_ray_index
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.5,-0.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,-5.531103083877831e-08,19.999993948232902,-0.9992497515650154,0.006488633314849871,0.038181561452624635,-0.03822211540181586,-0.006245309557210903,-0.9992497515650154,80.00000610513257,1.0,0.0,40.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.5,0.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,41.0,0.0,-1.6463563185023405e-16,19.999974111460382,-0.9992700137376981,-4.273128574044103e-18,0.03820261306063477,-0.03820261306063488,4.112886247030297e-18,-0.9992700137376981,80.00002594190508,1.0,0.0,41.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.5,0.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,42.0,0.0,5.5311030477955825e-08,19.999993948232902,-0.9992497515650154,-0.00648863331484988,0.038181561452624635,-0.03822211540181586,0.006245309557210913,-0.9992497515650154,80.00000610513257,1.0,0.0,42.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.5,0.5,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,43.0,0.0,8.493999381631312e-08,19.99999623777043,-0.999188969968609,-0.01297647792501817,0.038118411741987934,-0.03828061768827873,0.012489859986166812,-0.999188969968609,80.00000381559502,1.0,0.0,43.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.5,0.75,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,44.0,0.0,8.888678337815037e-08,19.99998097959145,-0.9990876837229015,-0.019462744778869757,0.03801317927877457,-0.03837810569964195,0.018732891824669914,-0.9990876837229015,80.00001907377401,1.0,0.0,44.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.5,1.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,0.0,6.715150524527758e-08,20.00000539367339,-0.9989459174502766,-0.025946645464144276,0.03786588964468174,-0.03851455573686102,0.024973646225920628,-0.9989459174502766,79.99999465969205,1.0,0.0,45.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.5,1.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,46.0,0.0,1.973408902955498e-08,20.000012259075742,-0.9987637056061145,-0.03242739252721952,0.037676578637507285,-0.03868993463663284,0.03121136526580859,-0.9987637056061145,79.99998779428968,1.0,0.0,46.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.5,1.5,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,47.0,0.0,-5.336539454781075e-08,20.00000157531696,-0.9985410924578603,-0.038904199791541035,0.03744529224940174,-0.03890419979154125,0.037445292249401164,-0.9985410924578603,79.99999847804845,1.0,0.0,47.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.5,1.75,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,48.0,0.0,-1.521470527343638e-07,20.0000305623745,-0.9982781320581489,-0.045376282674982754,0.037172086638947555,-0.03915729917592603,0.043674672016402974,-0.9982781320581489,79.9999694909909,1.0,0.0,48.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.75,-2.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,49.0,0.0,2.728379104866008e-07,19.999991572584033,-0.9982088587696007,0.05152046425518505,0.03040914396726535,-0.0329851675328654,-0.049910449774776135,-0.9982088587696007,80.00000840532391,1.0,0.0,49.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.75,-1.75,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,50.0,0.0,1.4884582610896757e-07,19.999980135628604,-0.9985102869210979,0.04509401679318736,0.03072029560734868,-0.032693159010941164,-0.04368482879252746,-0.9985102869210979,80.00001984227933,1.0,0.0,50.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.75,-1.5,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,51.0,0.0,5.0535811535468156e-08,20.00000836901088,-0.9987716719040335,0.038662130537542895,0.030990112363778355,-0.0324399423085826,-0.037453938978930554,-0.9987716719040335,79.99999160889706,1.0,0.0,51.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.75,-1.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,52.0,0.0,-2.2091994233974788e-08,20.000019052753434,-0.998992950689587,0.03222557848496096,0.031218529174545928,-0.03222557848495888,-0.031218529174547986,-0.998992950689587,79.99998092515449,1.0,0.0,52.0
