x,y,z,kx,ky,kz,ex,ey,ez,distance,amp,status,ray_index
39.75,-0.5,60,0,0,-1,1,0,0,0,1,0,119
39.75,-0.25,60,0,0,-1,1,0,0,0,1,0,120
39.75,0.0,60,0,0,-1,1,0,0,0,1,0,121
39.75,0.25,60,0,0,-1,1,0,0,0,1,0,122
39.75,0.5,60,0,0,-1,1,0,0,0,1,0,123
39.75,0.75,60,0,0,-1,1,0,0,0,1,0,124
39.75,1.0,60,0,0,-1,1,0,0,0,1,0,125
39.75,1.25,60,0,0,-1,1,0,0,0,1,0,126
39.75,1.5,60,0,0,-1,1,0,0,0,1,0,127
39.75,1.75,60,0,0,-1,1,0,0,0,1,0,128
40.0,-2.0,60,0,0,-1,1,0,0,0,1,0,129
40.0,-1.75,60,0,0,-1,1,0,0,0,1,0,130
40.0,-1.5,60,0,0,-1,1,0,0,0,1,0,131
40.0,-1.25,60,0,0,-1,1,0,0,0,1,0,132
40.0,-1.0,60,0,0,-1,1,0,0,0,1,0,133
40.0,-0.75,60,0,0,-1,1,0,0,0,1,0,134
40.0,-0.5,60,0,0,-1,1,0,0,0,1,0,135
40.0,-0.25,60,0,0,-1,1,0,0,0,1,0,136
40.0,0.0,60,0,0,-1,1,0,0,0,1,0,137
40.0,0.25,60,0,0,-1,1,0,0,0,1,0,138
40.0,0.5,60,0,0,-1,1,0,0,0,1,0,139
40.0,0.75,60,0,0,-1,1,0,0,0,1,0,140
40.0,1.0,60,0,0,-1,1,0,0,0,1,0,141
40.0,1.25,60,0,0,-1,1,0,0,0,1,0,142
40.0,1.5,60,0,0,-1,1,0,0,0,1,0,143
40.0,1.75,60,0,0,-1,1,0,0,0,1,0,144
40.25,-2.0,60,0,0,-1,1,0,0,0,1,0,145
40.25,-1.75,60,0,0,-1,1,0,0,0,1,0,146
40.25,-1.5,60,0,0,-1,1,0,0,0,1,0,147
40.25,-1.25,60,0,0,-1,1,0,0,0,1,0,148
40.25,-1.0,60,0,0,-1,1,0,0,0,1,0,149
40.25,-0.75,60,0,0,-1,1,0,0,0,1,0,150
40.25,-0.5,60,0,0,-1,1,0,0,0,1,0,151
40.25,-0.25,60,0,0,-1,1,0,0,0,1,0,152
40.25,0.0,60,0,0,-1,1,0,0,0,1,0,153
40.25,0.25,60,0,0,-1,1,0,0,0,1,0,154
40.25,0.5,60,0,0,-1,1,0,0,0,1,0,155
40.25,0.75,60,0,0,-1,1,0,0,0,1,0,156
40.25,1.0,60,0,0,-1,1,0,0,0,1,0,157
40.25,1.25,60,0,0,-1,1,0,0,0,1,0,158
40.25,1.5,60,0,0,-1,1,0,0,0,1,0,159
40.25,1.75,60,0,0,-1,1,0,0,0,1,0,160
40.5,-2.0,60,0,0,-1,1,0,0,0,1,0,161
40.5,-1.75,60,0,0,-1,1,0,0,0,1,0,162
40.5,-1.5,60,0,0,-1,1,0,0,0,1,0,163
40.5,-1.25,60,0,0,-1,1,0,0,0,1,0,164
40.5,-1.0,60,0,0,-1,1,0,0,0,1,0,165
40.5,-0.75,60,0,0,-1,1,0,0,0,1,0,166
40.5,-0.5,60,0,0,-1,1,0,0,0,1,0,167
40.5,-0.25,60,0,0,-1,1,0,0,0,1,0,168
40.5,0.0,60,0,0,-1,1,0,0,0,1,0,169
40.5,0.25,60,0,0,-1,1,0,0,0,1,0,170
40.5,0.5,60,0,0,-1,1,0,0,0,1,0,171
40.5,0.75,60,0,0,-1,1,0,0,0,1,0,172
40.5,1.0,60,0,0,-1,1,0,0,0,1,0,173
40.5,1.25,60,0,0,-1,1,0,0,0,1,0,174
40.5,1.5,60,0,0,-1,1,0,0,0,1,0,175
40.5,1.75,60,0,0,-1,1,0,0,0,1,0,176
40.75,-2.0,60,0,0,-1,1,0,0,0,1,0,177
40.75,-1.75,60,0,0,-1,1,0,0,0,1,0,178
40.75,-1.5,60,0,0,-1,1,0,0,0,1,0,179
40.75,-1.25,60,0,0,-1,1,0,0,0,1,0,180
40.75,-1.0,60,0,0,-1,1,0,0,0,1,0,181
40.75,-0.75,60,0,0,-1,1,0,0,0,1,0,182
40.75,-0.5,60,0,0,-1,1,0,0,0,1,0,183
40.75,-0.25,60,0,0,-1,1,0,0,0,1,0,184
40.75,0.0,60,0,0,-1,1,0,0,0,1,0,185
40.75,0.25,60,0,0,-1,1,0,0,0,1,0,186
40.75,0.5,60,0,0,-1,1,0,0,0,1,0,187
40.75,0.75,60,0,0,-1,1,0,0,0,1,0,188
40.75,1.0,60,0,0,-1,1,0,0,0,1,0,189
40.75,1.25,60,0,0,-1,1,0,0,0,1,0,190
40.75,1.5,60,0,0,-1,1,0,0,0,1,0,191
40.75,1.75,60,0,0,-1,1,0,0,0,1,0,192
41.0,-2.0,60,0,0,-1,1,0,0,0,1,0,193
41.0,-1.75,60,0,0,-1,1,0,0,0,1,0,194
41.0,-1.5,60,0,0,-1,1,0,0,0,1,0,195
41.0,-1.25,60,0,0,-1,1,0,0,0,1,0,196
41.0,-1.0,60,0,0,-1,1,0,0,0,1,0,197
41.0,-0.75,60,0,0,-1,1,0,0,0,1,0,198
41.0,-0.5,60,0,0,-1,1,0,0,0,1,0,199
41.0,-0.25,60,0,0,-1,1,0,0,0,1,0,200
41.0,0.0,60,0,0,-1,1,0,0,0,1,0,201
41.0,0.25,60,0,0,-1,1,0,0,0,1,0,202
41.0,0.5,60,0,0,-1,1,0,0,0,1,0,203
41.0,0.75,60,0,0,-1,1,0,0,0,1,0,204
41.0,1.0,60,0,0,-1,1,0,0,0,1,0,205
41.0,1.25,60,0,0,-1,1,0,0,0,1,0,206
41.0,1.5,60,0,0,-1,1,0,0,0,1,0,207
41.0,1.75,60,0,0,-1,1,0,0,0,1,0,208
41.25,-2.0,60,0,0,-1,1,0,0,0,1,0,209
41.25,-1.75,60,0,0,-1,1,0,0,0,1,0,210
41.25,-1.5,60,0,0,-1,1,0,0,0,1,0,211
41.25,-1.25,60,0,0,-1,1,0,0,0,1,0,212
41.25,-1.0,60,0,0,-1,1,0,0,0,1,0,213
41.25,-0.75,60,0,0,-1,1,0,0,0,1,0,214
41.25,-0.5,60,0,0,-1,1,0,0,0,1,0,215
41.25,-0.25,60,0,0,-1,1,0,0,0,1,0,216
41.25,0.0,60,0,0,-1,1,0,0,0,1,0,217
41.25,0.25,60,0,0,-1,1,0,0,0,1,0,218
41.25,0.5,60,0,0,-1,1,0,0,0,1,0,219
41.25,0.75,60,0,0,-1,1,0,0,0,1,0,220
41.25,1.0,60,0,0,-1,1,0,0,0,1,0,221
41.25,1.25,60,0,0,-1,1,0,0,0,1,0,222
41.25,1.5,60,0,0,-1,1,0,0,0,1,0,223
41.25,1.75,60,0,0,-1,1,0,0,0,1,0,224
41.5,-2.0,60,0,0,-1,1,0,0,0,1,0,225
41.5,-1.75,60,0,0,-1,1,0,0,0,1,0,226
41.5,-1.5,60,0,0,-1,1,0,0,0,1,0,227
41.5,-1.25,60,0,0,-1,1,0,0,0,1,0,228
41.5,-1.0,60,0,0,-1,1,0,0,0,1,0,229
41.5,-0.75,60,0,0,-1,1,0,0,0,1,0,230
41.5,-0.5,60,0,0,-1,1,0,0,0,1,0,231
41.5,-0.25,60,0,0,-1,1,0,0,0,1,0,232
41.5,0.0,60,0,0,-1,1,0,0,0,1,0,233
41.5,0.25,60,0,0,-1,1,0,0,0,1,0,234
41.5,0.5,60,0,0,-1,1,0,0,0,1,0,235
41.5,0.75,60,0,0,-1,1,0,0,0,1,0,236
41.5,1.0,60,0,0,-1,1,0,0,0,1,0,237
41.5,1.25,60,0,0,-1,1,0,0,0,1,0,238
41.5,1.5,60,0,0,-1,1,0,0,0,1,0,239
41.5,1.75,60,0,0,-1,1,0,0,0,1,0,240
41.75,-2.0,60,0,0,-1,1,0,0,0,1,0,241
41.75,-1.75,60,0,0,-1,1,0,0,0,1,0,242
41.75,-1.5,60,0,0,-1,1,0,0,0,1,0,243
41.75,-1.25,60,0,0,-1,1,0,0,0,1,0,244
41.75,-1.0,60,0,0,-1,1,0,0,0,1,0,245
41.75,-0.75,60,0,0,-1,1,0,0,0,1,0,246
41.75,-0.5,60,0,0,-1,1,0,0,0,1,0,247
41.75,-0.25,60,0,0,-1,1,0,0,0,1,0,248
41.75,0.0,60,0,0,-1,1,0,0,0,1,0,249
41.75,0.25,60,0,0,-1,1,0,0,0,1,0,250
41.75,0.5,60,0,0,-1,1,0,0,0,1,0,251
41.75,0.75,60,0,0,-1,1,0,0,0,1,0,252
41.75,1.0,60,0,0,-1,1,0,0,0,1,0,253
41.75,1.25,60,0,0,-1,1,0,0,0,1,0,254
41.75,1.5,60,0,0,-1,1,0,0,0,1,0,255
41.75,1.75,60,0,0,-1,1,0,0,0,1,0,256
